,Time,Event
0,4,c
1,6,a
2,10,c
3,12,c
4,16,c
5,19,b
6,24,c
7,25,c
8,27,c
9,31,a
10,36,c
11,40,b
12,41,c
13,45,c
14,49,c
15,51,c
16,52,a
17,55,c
18,58,b
19,61,c
20,62,c
21,64,c
22,69,a
23,70,c
24,74,b
25,75,c
26,78,c
27,79,c
28,80,c
29,82,c
30,85,c
31,87,a
32,88,c
33,92,b
34,93,c
35,98,c
36,103,c
37,107,c
38,111,c
39,112,a
40,116,c
41,120,c
42,123,c
43,128,b
44,132,c
45,137,a
46,142,c
47,143,c
48,144,c
49,148,b
50,151,c
51,153,c
52,156,c
53,158,a
54,163,c
55,168,b
56,173,c
57,175,c
58,178,c
59,182,c
60,183,c
61,186,a
62,191,c
63,194,b
64,196,c
65,198,c
66,202,a
67,206,c
68,209,c
69,214,b
70,219,c
71,222,c
72,226,c
73,228,c
74,233,a
75,235,c
76,237,b
77,242,c
78,247,c
79,248,c
80,252,a
81,255,c
82,259,b
83,262,c
84,264,a
85,265,c
86,267,b
87,268,c
88,272,c
89,274,c
90,279,a
91,281,c
92,282,c
93,285,b
94,287,c
95,288,c
96,292,c
97,293,a
98,297,c
99,300,b
100,304,c
101,309,c
102,312,a
103,317,c
104,322,b
105,325,c
106,326,c
107,331,c
108,336,a
109,339,c
110,341,b
111,346,c
112,350,c
113,352,a
114,353,c
115,357,c
116,360,b
117,363,c
118,366,c
119,371,a
120,374,c
121,375,c
122,380,b
123,384,c
124,386,c
125,387,c
126,389,c
127,391,a
128,392,c
129,396,c
130,397,b
131,401,c
132,402,c
133,405,c
134,407,a
135,412,c
136,414,b
137,415,c
138,419,c
139,421,a
140,425,c
141,426,c
142,427,b
143,432,c
